report_table_number_state,table_2_urban_utility_scale_pv_gwh,table_2_urban_utility_scale_pv_gw,table_2_urban_utility_scale_pv_km2,table_3_rural_utility_scale_pv_gwh,table_3_rural_utility_scale_pv_gw,table_3_rural_utility_scale_pv_km2,table_4_rooftop_pv_gwh,table_4_rooftop_pv_gw,table_5_csp_gwh,table_5_csp_gw,table_5_csp_km2,table_6_onshore_wind_gwh,table_6_onshore_wind_gw,table_6_onshore_wind_km2,table_7_offshore_wind_gwh,table_7_offshore_wind_gw,table_7_offshore_wind_km2,table_8_biopower_solid_gwh,table_8_biopower_solid_gw,table_8_biopower_solid_bdt,table_8_biopower_gaseous_gwh,table_8_biopower_gaseous_gw,table_8_biopower_gaseous_tonnes_ch4,table_9_geothermal_hydrothermal_gwh,table_9_geothermal_hydrothermal_gw,table_10_egs_geothermal_gwh,table_10_egs_geothermal_gw,table_11_hydropower_gwh,table_11_hydropower_gw,table_11_hydropower_count_of_sites
Georgia,43166.81755610899,24.274357756814204,505.7157866002959,5492183.400074469,3088.4654526380027,64343.03026399999,31116.369169986097,24.60727577586234,0,0,0,322.67985600000003,0.1301,26.020000000000003,220807.173984,58.628750000000004,11725.75,14682.3446,1.8622963723997976,13347586,2220.9696779999995,0.2817059459665144,472546.7400000002,0,0,353206.4668703458,44.80041436711485,1988.00988419352,0.45388353520400004,2100
Hawaii,3725,1.667,34.76,38032.652221661694,20.674414123538643,430.71696090705444,,2.7288689660368837,15369.822929455628,5.538623243555141,168.37279962167935,7786.647846409512,2.4677407109371146,493.548142187424,2836735.434084,736.945,147389,524.1049,0.06647702942668696,476459,200.23381799999999,0.025397490867579905,42602.939999999995,20632.05384,2.6172600000000004,,,2602.27088338356,0.594125772462,437
Idaho,23194.902284619006,12.05110185622268,251.0646220046392,3936847.787490993,2045.421580072,42612.949588,4051.146116474163,3.224487818901346,3502877.4203999992,1267.2226353999997,38523.25980000001,44319.753572,18.075599999999994,3615.1199999999994,,,,5775.616000000001,0.7325743277524102,5250560,182.50405499999997,0.023148662480974126,38830.649999999994,17205.2892184214,2.1823000023364503,993257.0187338333,125.983893801883,18757.802469329996,4.2826033035,6706
Illinois,103551.838488936,63.59745485738734,1324.9469761955695,8090985.482585095,4969.164154618001,103524.25322000003,30086.40062163528,26.311865615732845,0,0,0,649467.9308280001,249.8821,49976.42,66070.457334,15.8716,3174.3199999999997,27738.087300000007,3.518275913242009,25216443,4222.221875999999,0.535543109589041,898345.08,0,0,676055.9423571997,85.75037320613802,4882.504927179121,1.1147271523239999,1330
Indiana,98815.18663827701,61.174502818724505,1274.4688087234267,4876185.794751084,3018.7489574700003,62890.603279999996,17151.22126864281,14.856159293613453,0,0,0,377603.89004999987,148.2275,29645.499999999996,165.73657200000002,0.04505,9.01,14941.649799999996,1.89518642820903,13583318,2978.202,0.3777526636225268,633659.9999999998,0,0,434258.4951862565,55.08098619813601,2394.2854787563197,0.5466405202639999,1142
Iowa,27091.938490847995,15.573853835251068,324.45528823439713,6994159.157026577,4020.6060725259986,83762.62651200006,8646.108845298271,7.1907807915964375,0,0,0,1723587.8610820004,570.7142000000003,114142.84000000001,,,,27502.478300000017,3.488391463723998,25002253,1425.4039679999994,0.18079705327245055,303277.43999999994,0,0,606390.2937678234,76.91404030541692,2818.186182526799,0.64342150286,2398
Kansas,31705.867464441002,15.218204635328036,317.0459299026674,14500149.077404328,6959.79178466,144995.66217999998,8962.1604206525,6.871713183715727,7974255.993099998,2884.8162292,87697.71170000003,3101575.693250001,952.3709000000001,190474.17999999996,,,,12104.457199999995,1.5353192795535255,11004052,753.031321,0.09551386618467786,160219.43000000002,0,0,989675.9456477604,125.52967347133098,2507.9277001282812,0.5725862329059999,3201
Kentucky,26514.59574837799,16.271262964928482,338.9846451026767,1823976.7456494197,1119.3233172559999,23319.235776000012,12312.063554166769,10.538486650009457,0,0,0,147.35634000000002,0.06060000000000001,12.12,,,,7048.070699999998,0.8939714231354641,6407337,1273.9488649999994,0.161586614028412,271052.9499999999,0,0,484658.76885576657,61.473714974075996,4255.367148766922,0.9715450111340002,1394
Louisiana,55669.47869607001,32.39089135800593,674.8102366251231,4114605.24254375,2394.05387883,49876.122475999975,14368.078305235176,11.840370579128626,0,0,0,934.651704,0.4098,81.96,1200698.500764,340.6149,68122.98000000001,14016.041599999997,1.7777830542871644,12741856,857.2995520000001,0.10873916184677826,182404.16,0,0,484271.3670824001,61.42457725552401,2423.3307764438396,0.5532718667680001,934
Maine,3216.0739670219996,1.9252400777109377,40.10916828564457,1100327.107783598,658.6894046319999,13722.695928000003,2443.2511903417653,2.1413198201624004,0,0,0,28742.810928,11.250999999999998,2250.2000000000003,631960.205322,147.4179,29483.579999999998,4273.041299999999,0.54198900304414,3884583,124.749139,0.01582307699137494,26542.37,0,0,377075.09688048007,47.82789153735201,3916.4181669454797,0.8941593988459999,1373
